id,age,gender,lnincm,lnfincm,isco08,manage,dwtype,tizhi,party,hukou,wide,nwtop,edu,listening,speaking,book,newsp,eread,isei08,siops08,ht,wt,rd1,rd2,rd3
13338,24,0,7.8244457,8.3351116,5223,3,6,0,0,0,3,48,9,2,2,0,0,5,28.48,42.779999,150,95,.67571414,1.9428568,.060318455
7202,54,1,8.3351116,8.5173931,7231,3,6,0,0,0,0,0,9,1,1,0,0,0,30.780001,44,166,145,.87360418,1.514297,8.4777308
7338,74,1,6.7266331,6.7266331,9210,3,11,0,0,0,2,43,9,1,1,0,0,0,11.74,22.16,170,140,.64934522,1.6640327,5.9793611
448,86,1,8.6126852,8.6126852,3112,2,3,1,1,1,2,69,12,4,4,.16666667,0,0,59.349998,52.720001,169,136,.45607939,1.8982083,5.528266
8498,62,1,6.7266331,6.7266331,9200,3,12,0,0,0,8,69,9,1,1,0,0,0,11.87,22.280001,170,130,.40869427,1.1903259,5.426898
10978,49,0,8.0067005,8.0067005,9111,3,9,0,0,1,7,85,9,1,1,0,0,2,16.379999,20,156,156,.34142113,1.50933,8.9311447
3166,28,0,7.4191809,8.3351116,5223,3,9,0,0,1,2,48,14,2,2,0,.65753424,.66666669,28.48,42.779999,161,120,.69236237,1.0498891,7.9665051
14021,30,0,8.3351116,9.0281391,3134,3,3,1,0,1,6,69,14,2,2,.25,.0082191778,1,33.66,43,161,114,.056022275,1.4598256,4.25214
6034,50,1,8.3351116,9.2104406,7212,3,9,0,0,0,1,69,9,1,1,0,.26301369,0,28.52,39,170,140,.84354031,1.1171306,3.2820387
10966,68,1,5.5254531,7.4191809,9313,3,9,0,0,0,5,85,6,1,1,0,0,0,15.35,15,173,130,.36497745,1.6175008,6.7063575
5022,55,1,8.0067005,8.8050251,5245,3,3,1,0,1,2,40,9,1,1,0,0,0,39.040001,25,162,120,.14584023,1.7721758,7.8076682
5445,69,1,8.2943001,8.2943001,8300,3,3,1,0,1,2,40,9,2,2,.83333331,1,3,26.799999,31.889999,165,120,.45811534,1.9369458,6.9786181
2500,76,1,7.3138866,8.9227915,9200,3,12,0,0,0,3,69,9,1,1,.083333336,.0082191778,0,11.87,22.280001,172,160,.13081394,1.5476891,6.7915912
7790,55,0,0,9.4980974,5120,3,8,0,0,0,7,85,6,1,1,0,0,0,24.530001,30.98,166,125,.28445199,1.8125066,9.128252
1184,67,0,7.6422043,9.7212257,2641,3,2,1,1,1,2,69,16,2,2,4.1666665,.02739726,5,72.830002,56.919998,165,130,.95651984,1.1039608,8.2926054
9227,37,0,7.4191809,8.1120281,8100,3,6,0,0,0,1,48,6,1,1,0,0,.5,23.41,32.77,165,110,.0098804524,1.9445974,9.2868528
7240,65,0,0,8.4303999,9200,3,12,0,0,0,3,69,6,1,1,0,0,0,11.87,22.280001,142,75,.19422652,1.339035,7.535625
4545,41,0,6.0346837,7.4191809,9210,3,11,0,0,0,7,69,0,2,2,0,0,0,11.74,22.16,160,100,.27289829,1.4244436,8.9931364
3199,56,1,7.8244457,8.6715155,4321,3,6,0,0,1,3,34,9,1,1,0,0,2,32.5,30.280001,175,130,.75535202,1.4329134,2.1430752
12493,60,1,5.9515104,6.0346837,9210,3,11,0,0,0,4,69,9,1,1,0,0,0,11.74,22.16,163,120,.99701416,1.5364759,8.3631859
5906,51,1,7.8244457,8.0067005,4321,3,9,0,0,0,3,85,9,1,1,0,0,1.6666666,32.5,30.280001,168,140,.2603741,1.0467768,4.4654546
9412,64,1,6.7266331,6.7266331,9311,3,2,1,0,0,7,69,9,1,1,1.25,.02739726,0,15.35,18.02,160,135,.048880868,1.8663707,.23857731
1210,41,0,8.1120281,9.9443579,4311,3,6,0,0,0,7,85,14,2,2,.66666669,0,3,50.369999,34,158,110,.68519032,1.281351,9.160984
14668,49,0,7.8244457,8.8050251,5221,3,9,0,0,1,8,85,6,1,1,0,.0054794522,2,35.34,48,168,110,.54260576,1.3312681,.81396168
12520,36,1,8.6715155,9.2904749,7222,2,3,1,0,1,6,69,12,1,1,.41666666,.82191783,1,33.16,39.959999,158,124,.41171366,1.8194281,7.7587404
11428,52,0,7.9785395,8.1120281,5211,3,9,0,0,1,1,34,9,1,1,0,0,0,28.84,36.689999,150,90,.068641812,1.8184335,7.804275
4122,60,0,8.1120281,8.1120281,5230,3,3,1,0,1,1,50,12,1,1,0,0,0,30.9,32.16,155,103,.61157066,1.8195802,5.0940285
2327,26,0,0,7.8244457,8142,3,6,0,0,0,1,69,9,3,3,0,0,3,24.85,29.299999,157,100,.79013592,1.2834094,3.4365914
9696,56,0,6.7266331,7.4191809,9622,3,9,0,0,0,1,34,12,1,1,0,0,0,27.91,22.879999,155,100,.082981922,1.6887593,4.4532242
7717,27,1,8.1120281,8.1120281,9330,3,6,0,0,0,0,0,9,1,1,0,0,0,19.66,20.389999,165,245,.71281612,1.9720179,5.3960423
