treat,lninc,gender,age,age2,hukou,fedu,medu,party
0,,0,30,900,1,6,0,0
0,6.9077554,0,43,1849,1,0,0,0
0,6.9077554,1,25,625,1,12,9,0
0,7.6009026,1,49,2401,1,0,0,0
0,,1,48,2304,1,6,0,0
0,6.3969297,1,60,3600,1,6,0,0
0,7.0900769,1,47,2209,1,9,9,0
0,5.1929569,1,49,2401,1,6,0,0
0,6.4769726,1,48,2304,1,9,6,0
0,6.3279366,0,59,3481,1,6,6,0
0,6.9077554,0,42,1764,1,6,6,0
1,6.7452364,0,50,2500,1,16,16,0
0,7.8240461,1,46,2116,1,6,6,0
0,6.9077554,0,26,676,1,12,9,0
0,6.5510802,1,65,4225,1,6,0,0
0,6.7684932,1,54,2916,1,6,0,0
1,6.2146082,1,20,400,1,12,12,0
0,,0,44,1936,1,6,0,0
0,6.9077554,0,43,1849,1,9,9,0
0,,0,43,1849,1,12,12,0
0,7.495542,0,38,1444,1,6,6,0
0,7.6009026,1,55,3025,1,6,0,0
0,5.0106354,1,18,324,1,12,12,0
0,6.8023949,0,68,4624,1,,,1
0,,0,40,1600,1,6,6,0
1,,1,22,484,1,12,12,0
1,,0,40,1600,1,14,14,0
0,,1,55,3025,1,12,6,0
1,6.9077554,0,22,484,1,9,9,0
0,6.6200733,1,49,2401,1,6,6,0
1,7.6009026,1,39,1521,1,14,6,1
1,,1,19,361,1,9,12,0
0,7.3132205,0,35,1225,1,9,9,0
0,6.9077554,0,36,1296,1,9,0,0
0,,0,60,3600,1,6,6,1
0,6.6846118,0,51,2601,1,6,6,0
0,,0,19,361,1,14,12,0
0,,1,48,2304,1,6,0,0
0,,1,18,324,1,9,12,0
0,7.377759,1,47,2209,1,0,0,0
1,,0,53,2809,1,6,0,0
0,,0,48,2304,1,0,0,0
0,7.6009026,0,47,2209,1,,,0
1,,0,21,441,1,9,9,0
0,,1,46,2116,1,0,0,0
1,8.6995144,1,26,676,1,12,9,1
0,,1,33,1089,1,9,6,0
0,6.856462,1,49,2401,1,6,6,0
0,7.3132205,0,52,2704,1,9,9,1
0,6.8023949,0,55,3025,1,9,0,0
0,,0,36,1296,1,9,9,0
0,6.8023949,0,21,441,1,9,9,0
0,7.4383836,0,24,576,1,12,12,0
0,,1,19,361,1,14,12,0
1,7.9373746,1,63,3969,1,0,0,0
0,6.7093043,1,54,2916,1,16,12,0
0,6.6200733,0,65,4225,1,6,0,1
0,6.2146082,0,55,3025,1,,0,0
0,6.3969297,0,50,2500,1,0,6,1
0,7.0030656,0,64,4096,1,,6,1
0,6.1092477,1,48,2304,1,6,0,0
0,6.9077554,1,24,576,1,12,9,0
0,6.8351846,1,61,3721,1,9,9,0
0,5.6698809,0,44,1936,1,9,0,0
0,6.5510802,1,64,4096,1,0,0,0
0,5.7620516,0,49,2401,1,0,0,0
